Component_ID,Flight_Hours,Temperature,Vibration,Component_Age,Maintenance_Cost,Failure
C70,2408,66,0.7194012334239729,51,40392,1
C71,4032,63,0.2000796236196333,23,27481,1
C72,1943,116,0.20071661161682403,26,12991,0
C73,1747,96,0.2656491246848881,55,21143,0
C74,3702,60,0.30335044575264397,57,34568,0
C75,3973,95,0.5460572954994845,35,39577,1
C76,3170,112,0.32032056716116464,38,4447,1
C77,732,108,0.9236848464313031,23,17945,0
C78,1577,106,0.4887185987731747,13,36228,0
C79,4978,65,0.9319458522600088,42,39118,1
C80,4245,101,0.1537778623141479,46,39152,1
C81,1368,89,0.43494103498047443,25,6668,1
C82,2471,86,0.737373629035521,12,14201,0
C83,1250,72,0.19180083023364952,37,32360,1
C84,884,76,0.5566070866660896,19,38875,0
C85,4615,89,0.6856760005581221,19,16168,0
C86,771,72,0.43332977588911026,43,34736,0
C87,3320,111,0.994333474262032,40,40433,1
C88,4457,63,0.3502464633448733,37,2661,0
C89,2030,110,0.21625418053410167,43,3101,0
C90,3102,96,0.3419419647252173,44,29287,1
C91,620,114,0.8139032466620872,27,32127,0
C92,4423,116,0.5955217855401531,21,44924,1
C93,2018,64,0.36743553087651726,48,41744,0
C94,2595,73,0.6259289550674353,48,12024,0
C95,2250,85,0.6925250025437195,40,12812,0
C96,3010,97,0.4625889235518036,10,49936,1
C97,4083,115,0.708454447324256,42,13787,1
C98,1324,60,0.1396450003639508,50,8603,0
C99,699,103,0.580749176208695,33,3475,0
C100,4191,117,0.8134796547656457,33,27672,1
C101,4886,87,0.9492086230955461,50,16262,1
C102,3010,113,0.6372032210245159,8,44650,1
C103,4887,113,0.1382719043691469,40,36009,1
C104,4108,76,0.6544375295173567,30,2871,0
C105,1112,108,0.22229139448562846,27,36505,0
C106,2538,70,0.7214212833108888,35,7520,0
C107,1907,111,0.310049113186472,49,34578,0
C108,3864,99,0.6443215522829266,29,19062,1
C109,986,96,0.9193362153835455,31,35323,0
C110,503,65,0.5355004592588365,37,27677,0
C111,3268,117,0.1902875216682106,32,21211,0
C112,2437,76,0.7025989945366086,45,32456,1
C113,1880,119,0.6116066227526736,40,36313,0
C114,4240,85,0.12670049233885805,30,10736,0
C115,2304,75,0.7073420558829396,39,22470,0
C116,4983,82,0.10269076934934447,11,19606,0
C117,1407,90,0.9126629789360383,18,3537,0
C118,3112,97,0.9328021501102485,45,7269,1
C119,4988,103,0.49591050531143477,58,37178,1
C120,3049,93,0.4738090905702881,18,24441,0
C121,4677,119,0.9708519994969718,31,20343,1
C122,1486,94,0.6972235664709261,49,11545,0
C123,3204,92,0.2485115222374478,28,9791,1
C124,1602,105,0.9946488266376259,14,42369,0
C125,2602,69,0.7460611483162456,7,47940,0
C126,2610,92,0.7476512098743102,44,7571,1
C127,4548,114,0.6263116691311776,35,2210,1
C128,637,100,0.23138778959422254,24,18323,1
C129,660,62,0.4686984768922656,54,46239,0
C130,4753,106,0.5362255827392504,13,24652,1
C131,2029,97,0.7679052746115731,52,42254,1
C132,3781,111,0.9675950569423268,13,16713,1
C133,513,113,0.761039994471541,28,37604,0
C134,1530,114,0.2697306281046581,44,8200,0
C135,1131,84,0.935731956611122,36,46702,0
C136,4386,100,0.2662870722543358,14,35490,1
C137,2757,80,0.7212168974277902,58,31487,1
C138,4934,112,0.23777836668978858,23,33415,1
C139,3143,114,0.2842325643070318,36,11888,1
C140,4399,90,0.1879878820338695,30,37907,0
C141,2520,112,0.17008137216022443,51,23372,0
C142,4930,60,0.821863410442767,33,8649,0
C143,2128,85,0.8121432489136843,9,18707,0
C144,1540,75,0.8401748492021653,48,1875,1
C145,1997,78,0.3918570182900254,45,45158,0
C146,4521,112,0.37394554392355206,55,10927,1
C147,1721,91,0.5971552642808666,50,35105,0
C148,3778,96,0.5214525053150075,29,49311,1
C149,996,95,0.4036759667634632,35,29354,0
C150,1014,96,0.1707691190956942,26,40874,0
C151,4083,110,0.7394782998087063,39,15121,1
C152,3594,79,0.898217343264299,15,21824,0
C153,1245,66,0.22953901924611764,56,29309,0
C154,4111,62,0.26799968516510525,7,14068,0
C155,2335,108,0.8845614292181804,32,33716,0
C156,2109,81,0.922725414422638,12,8601,0
C157,1966,118,0.46628321533264705,38,42179,0
C158,3672,60,0.7130753297643453,28,19116,1
C159,2908,96,0.7929291732726448,31,43932,1
C160,4041,88,0.8021110509925026,15,13823,0
C161,2247,75,0.929208291326875,52,23410,1
C162,3463,117,0.33670820599234036,32,47557,0
C163,3740,106,0.7087417306210887,48,17973,1
C164,3105,100,0.9431714235426424,39,34894,0
C165,1189,86,0.971808404527565,41,1768,0
C166,2950,105,0.8589117282410983,6,14571,1
C167,2579,99,0.22778430917031897,58,21346,0
C168,2595,98,0.8757580412870241,38,36822,0
C169,4898,102,0.568828237368397,47,21500,1
C170,2046,110,0.8852048538080827,51,5585,1
C171,778,115,0.3393187322482927,29,46509,1
C172,2239,76,0.755922388352446,40,31612,0
C173,4808,117,0.3882333818496041,33,20448,1
C174,3441,87,0.918620160304036,10,36755,0
C175,535,115,0.4410841159208385,22,22205,0
C176,3813,69,0.4890637474303583,38,24998,0
C177,2646,119,0.4675425159307788,59,8035,0
C178,1312,78,0.3820549497738901,35,23077,0
C179,4694,80,0.5581083003623954,10,34524,0
C180,3208,84,0.3367772070639598,29,36716,0
C181,2151,87,0.6598257577239114,29,46082,0
C182,3335,67,0.10946814426887093,35,22293,0
C183,1795,88,0.8623638170623235,22,17670,0
C184,2827,119,0.3002235276235462,37,47168,0
C185,1310,63,0.9306091167927066,31,32967,0
C186,4615,66,0.9799561724320934,18,26593,0
C187,578,101,0.5439996149789429,17,11967,0
C188,4329,91,0.4731669373483429,10,40151,1
C189,606,69,0.535238013527872,22,26926,0
C190,1537,79,0.9672473217818855,33,44611,0
C191,758,78,0.3721815128254695,8,25975,0
C192,794,102,0.3525265415068983,41,1002,1
C193,4830,119,0.575687124441225,59,36501,1
C194,3224,67,0.5429367730022864,47,12992,0
C195,4010,107,0.7061560000920689,29,18362,1
C196,714,95,0.7884333985993663,24,7549,1
C197,2800,93,0.8043745595228421,31,18370,0
C198,1160,62,0.5606431959819193,49,24718,0
C199,4289,112,0.27191880689881454,40,20970,0
C200,1376,80,0.7578064295051584,16,17177,0
C201,2706,81,0.20059488924720703,47,7201,0
C202,2097,70,0.9991968436600331,51,29488,1
C203,2309,72,0.3742279217145369,50,10832,0
C204,1760,101,0.41912933597979785,32,27294,0
C205,1976,103,0.7448920863075165,28,28980,0
C206,3211,98,0.8794685426046549,26,5760,1
C207,3319,117,0.5519783225506986,20,4342,1
C208,946,87,0.8219398658255896,46,47786,1
C209,1395,88,0.37658398286566885,38,8445,0
C210,966,84,0.6921682861793819,57,4648,0
C211,3221,101,0.6003856378254345,27,40068,1
C212,1033,64,0.8498117151978218,35,8626,0
C213,3775,86,0.9970852943554472,24,46732,0
C214,2018,89,0.34417641158144785,42,6636,0
C215,940,73,0.33159239872686275,15,49965,0
C216,4501,83,0.5290078852201429,18,34598,0
C217,2845,97,0.9301885308966557,6,3037,0
C218,3562,67,0.6497218674574351,52,20192,0
C219,4807,103,0.545789004051468,25,30545,1
C220,3167,100,0.9583955326551928,15,35733,0
C221,3078,100,0.3992452935424434,42,16167,0
C222,701,108,0.6717335537869081,15,10241,0
C223,511,73,0.899987496446353,10,3450,0
C224,3803,95,0.2574553052140167,15,18644,1
C225,3669,87,0.9381475589777053,50,5646,1
C226,1055,86,0.5957039282214508,14,1330,0
C227,3338,87,0.14362806380064863,13,23837,0
C228,2436,106,0.5591773973519681,55,18470,0
C229,4677,91,0.42259092323456127,25,11571,1
C230,2161,115,0.5358000837011018,11,2886,0
C231,4214,99,0.7365980417094837,49,10885,1
C232,4880,69,0.7700933597609005,49,38680,0
C233,1481,92,0.6393462823173267,49,35992,0
C234,2338,65,0.9094548112352852,9,35727,0
C235,1473,91,0.6053478637461556,44,31929,0
C236,3424,117,0.9118412571243059,25,21684,1
C237,889,93,0.19842555800809306,46,13514,0
C238,1956,113,0.7440885812832034,54,47596,1
C239,1290,61,0.14050182747224987,46,42820,0
C240,3555,103,0.6361252023309274,21,45398,1
C241,577,119,0.6611758228198004,35,6566,1
C242,1703,70,0.4954346772121081,11,21193,0
C243,2671,101,0.23395033674908497,41,10188,0
C244,4519,60,0.5887347402529955,56,37707,0
C245,2176,84,0.5293438412861453,56,41490,0
C246,1516,80,0.19405747028855058,59,34396,0
C247,830,68,0.33958764550560305,16,46246,0
C248,4631,103,0.6113411625548014,26,12468,1
C249,4791,61,0.24425498263275727,39,19956,0
C250,2010,79,0.42818982286548735,44,25740,1
C251,4709,77,0.872755277631593,31,4125,0
C252,4421,87,0.4347853665782704,19,17965,1
C253,3095,76,0.7238668429366156,16,41626,0
C254,3330,62,0.5350878437286439,16,45666,0
C255,3559,61,0.9411500152197911,32,42031,0
C256,1810,82,0.3755893891431227,52,21657,0
C257,1834,78,0.8693498179437189,20,22049,0
C258,1688,108,0.5070846226318173,44,31034,0
C259,957,100,0.1773901079411802,59,9468,0
C260,1037,112,0.7155455763794554,10,45103,0
C261,982,89,0.8935263716235989,6,35838,0
C262,4022,119,0.1684815819824775,14,5975,1
C263,633,80,0.7715662764452503,40,30828,0
C264,1540,90,0.2791114415856032,38,18304,1
C265,3836,67,0.6743541277318874,29,37774,0
C266,1434,86,0.9235434355754433,28,1989,1
C267,1267,95,0.8299634898676765,30,46337,0
C268,2370,101,0.43438045059884334,6,12946,0
C269,1202,84,0.1841767772055831,15,28099,0
C270,1749,101,0.6231405902972056,53,21959,0
C271,3351,116,0.38381368865825627,8,15673,1
C272,2625,64,0.3367857235722491,23,44298,0
C273,1670,112,0.47379500618137216,31,34247,0
C274,3614,94,0.2100052207645419,54,22676,1
C275,4276,105,0.5868177302605068,18,45784,1
C276,1509,69,0.5384584222374436,42,7025,0
C277,2270,82,0.9799199538430378,19,47747,0
C278,1628,67,0.11010594272046086,18,11517,0
C279,1062,67,0.40078177748293653,51,37581,0
C280,1818,113,0.122528169018374,34,38285,0
C281,1010,109,0.2773561699677683,47,21160,0
C282,3089,79,0.909415280568125,21,4593,0
C283,549,74,0.8920146245418873,58,27236,1
C284,4870,81,0.810459744860636,18,36426,0
C285,4133,96,0.17550616494955917,15,44965,1
C286,2319,69,0.10151737656674953,13,49847,0
C287,680,93,0.11411038490606853,56,7462,1
C288,4637,103,0.5715631167512647,57,41177,0
C289,4608,89,0.8407129165595729,18,31213,1
C290,1605,113,0.44872547185025247,45,30964,0
C291,3947,98,0.8680509313660634,14,3088,1
C292,1291,96,0.8256762304348008,40,4954,0
C293,1485,77,0.9725325640379102,15,35414,0
C294,978,112,0.7516452962217792,27,44346,0
C295,958,78,0.39074613015710435,21,4717,0
C296,2675,62,0.40373074057501757,55,48373,0
C297,4261,103,0.5893698311993505,38,15481,1
C298,1963,104,0.5173403964340813,51,49676,0
C299,2153,116,0.4952082401442591,8,33025,0
C300,4020,116,0.8103657331798522,27,33700,1
C301,4033,91,0.8865209898265024,10,7595,1
C302,2550,106,0.8636214468315387,23,2342,0
C303,3809,85,0.22913965642847328,12,32159,0
C304,1091,112,0.7697027257631458,41,28551,1
C305,563,99,0.5241774568223105,31,41309,0
C306,3268,85,0.18836998026047239,56,37911,0
C307,4388,94,0.4057179391135993,20,25071,1
C308,4825,88,0.2697223249497142,8,37330,0
C309,1252,76,0.5236851721636868,30,48595,0
C310,2472,94,0.28017181773617406,11,46101,0
C311,1620,84,0.9922339569291146,55,1717,1
C312,763,72,0.7805832861279877,44,11849,1
C313,3961,90,0.6914351633047994,15,3600,0
C314,3995,108,0.5088662673620643,59,33876,1
C315,2078,84,0.5331729259122167,57,25800,0
C316,2499,118,0.5220639955094238,54,38721,1
C317,4706,71,0.24752675722349096,38,3731,0
C318,2747,70,0.45827358650517624,35,7233,0
C319,3745,117,0.2788842087793879,39,29582,1
C320,2482,110,0.186667630735822,57,3366,0
C321,2248,69,0.8254095473164486,34,13198,0
C322,3430,69,0.30803089200834155,40,1991,0
C323,4546,110,0.45166397067113595,32,25788,0
C324,3936,90,0.964369169054599,55,18359,1
C325,2035,81,0.9771669058938665,15,4089,0
C326,1837,67,0.6523710189549979,58,8893,0
C327,2006,112,0.3215861175290008,9,22073,1
C328,1257,101,0.4143711514530235,25,32852,0
C329,2944,86,0.56708627313552,47,43138,1
C330,3775,82,0.28908553336517284,24,49543,0
C331,2602,99,0.18186367891282867,47,38508,0
C332,2263,97,0.4735138791939222,55,26816,0
C333,718,71,0.45986374341558334,20,42049,0
C334,4631,74,0.5322720859611604,54,22792,1
C335,3203,115,0.8520325666268918,30,33024,1
C336,1619,90,0.47508794147965994,15,31437,0
C337,4550,78,0.9465737303598295,44,9933,1
C338,2216,103,0.681918637867369,9,6814,0
C339,2497,82,0.7199844150367696,34,32015,0
C340,3337,82,0.791445129403963,58,1842,1
C341,682,118,0.33626365373145184,22,40627,0
C342,4761,107,0.24718683736605973,25,24682,1
C343,4688,61,0.31494187579518973,59,43474,0
C344,4263,80,0.15073548255761063,39,19478,0
C345,3876,89,0.26441152837556503,41,8563,0
C346,3428,118,0.2885944738849208,35,23377,1
C347,2392,72,0.5543213355454718,18,4322,0
C348,3546,87,0.3325942882008964,58,29760,0
C349,4789,111,0.5848530949255024,29,24037,1
C350,3367,88,0.9975557027186694,34,15184,0
C351,1579,114,0.5053895926999941,16,8201,0
C352,2871,60,0.56925517935876,24,25868,0
C353,1708,106,0.8887514043204799,19,39184,0
C354,3158,83,0.4857205496827588,55,38946,0
C355,3121,69,0.1555188572917517,21,22125,1
C356,2688,63,0.47774069941405173,21,49821,0
C357,2595,97,0.48584696690946194,6,31353,0
C358,4972,95,0.819249234865664,38,25164,1
C359,3082,114,0.557901526564319,24,44800,1
C360,4475,102,0.29519015044631824,28,34423,1
C361,4889,118,0.9735241013807738,38,25328,1
C362,2453,104,0.29338142502311604,51,29570,0
C363,4462,112,0.992609267249539,22,7468,0
C364,3892,96,0.5485143741572155,31,38124,1
C365,1985,112,0.6712403521389511,38,30409,0
C366,4626,74,0.8316557275683097,50,34348,1
C367,4803,82,0.4968971421863949,42,11118,0
C368,3672,119,0.20212935946156452,15,48568,1
C369,2282,104,0.49931085341435366,22,5096,1
C370,2500,85,0.9675157350413692,31,20797,0
C371,2768,75,0.8962308256357736,8,25408,0
C372,2314,61,0.6969040957967726,43,20720,1
C373,3067,60,0.8007126452151248,28,18383,0
C374,4635,96,0.25532243218615913,23,32311,1
C375,3854,70,0.7615971424640041,38,20619,0
C376,3819,79,0.17931890000360468,20,18640,0
C377,3189,102,0.8150479772964693,11,47460,1
C378,908,89,0.632917725437926,18,32034,0
C379,1952,88,0.9814220936479886,8,37645,0
C380,1802,80,0.5302244262774418,21,14940,0
C381,1664,73,0.4780403089303036,50,14995,0
C382,1483,100,0.8053512954745371,12,7575,1
C383,2242,74,0.8061762193821693,58,6280,1
C384,4862,84,0.5487924234601114,57,39194,0
C385,1235,62,0.6716275010040678,50,40410,0
C386,3808,84,0.5410768806501498,47,34083,0
C387,2110,82,0.7314066803954079,39,17395,0
C388,1891,62,0.7627956196727523,7,39518,0
C389,2163,106,0.5297185031808717,24,40265,0
C390,1393,113,0.8046008682613114,55,9499,1
C391,4115,117,0.43501193134776583,10,42689,1
C392,2690,76,0.5880013062613207,47,3332,0
C393,3896,117,0.21501082529948562,6,1292,1
C394,1566,70,0.6179757238186008,31,11824,0
C395,3059,114,0.6870639511959546,56,26855,1
C396,1537,106,0.1013061691129629,48,2992,0
C397,3378,64,0.476326132064095,7,8404,0
C398,1543,98,0.5029299301641366,21,7939,1
C399,1320,67,0.8843222259635959,21,40676,0
C400,1313,116,0.6705867518429776,45,2186,0
C401,3120,71,0.9750973842455541,8,6959,0
C402,1241,70,0.9155134877678881,45,37139,1
C403,860,101,0.27890072952800027,24,48003,0
C404,2966,92,0.15972920608317995,31,20332,1
C405,2997,98,0.3323919672201777,33,39553,0
C406,2824,64,0.17068912308851505,46,7662,0
C407,2475,79,0.9167253224425973,55,9942,1
C408,3115,61,0.13598787110582322,18,36630,0
C409,952,116,0.6534878432747883,43,24418,1
C410,3311,119,0.26545308224895836,18,42986,1
C411,544,117,0.7519154958670965,30,41936,0
C412,4873,95,0.6485267930096303,48,43183,1
C413,4330,81,0.5758495528059859,47,23133,0
C414,4483,119,0.2384534802891493,17,9109,1
C415,3727,117,0.8381173686774434,14,45578,1
C416,3475,65,0.9551510576731498,43,9282,1
C417,778,114,0.5668365549552912,10,24593,0
C418,1607,99,0.9131424864573507,6,1774,1
C419,3652,77,0.5916487862681084,22,27602,0
C420,2866,108,0.27368895046993835,53,44398,0
C421,4758,89,0.18385793833923822,27,48076,0
C422,898,96,0.14619048794778153,40,23098,0
C423,4150,85,0.6538614668431115,29,12751,0
C424,4770,104,0.9608927310327726,25,5077,1
C425,1916,61,0.6907204361642635,32,41187,0
C426,518,62,0.6472146237552796,53,4051,0
C427,4223,113,0.11453990166027567,38,41136,1
C428,1138,88,0.2705805904485279,16,6959,0
C429,4247,99,0.4159494677448208,59,21591,1
C430,2336,110,0.1949706755421055,37,28830,0
C431,2514,81,0.2252071824030636,44,3731,0
C432,2777,95,0.7068206120977472,43,19004,1
C433,4263,115,0.23114192749001122,37,23101,1
C434,2286,65,0.9415213175915693,49,19979,0
C435,3140,73,0.2388049408687064,14,16069,0
C436,1747,87,0.6618441495613289,35,43992,0
C437,4118,94,0.850633082814165,50,42703,1
C438,3710,99,0.5451842290777728,12,20802,1
C439,653,103,0.8672048532781854,49,8374,1
C440,3978,79,0.8434425026520893,53,34970,1
C441,3745,65,0.833455424113119,47,4906,1
C442,2811,93,0.5935552394806165,58,25258,0
C443,3259,80,0.7166527206387137,18,4525,1
C444,1832,111,0.8002904259980289,45,34660,1
C445,1324,87,0.558999361092982,18,30995,0
C446,529,69,0.42433725957306323,15,28401,0
C447,1549,97,0.35792393135319733,20,10162,0
C448,4057,72,0.7241135663179525,18,30324,0
C449,4802,107,0.4817205260596724,33,32560,1
C450,3201,112,0.5649075936665079,17,19658,1
C451,1473,99,0.8589645283150913,41,20557,1
C452,1971,65,0.1582226311512486,49,33691,0
C453,3710,74,0.9030698253838442,46,34298,1
C454,2739,100,0.7811246130867848,22,5561,0
C455,1016,99,0.24473085944256764,30,11256,1
C456,2731,78,0.11020313352073118,15,32401,0
C457,1272,87,0.9434255277487577,43,26267,1
C458,1152,87,0.3917780268619332,27,45380,0
C459,1598,65,0.5516337541168366,52,10245,0
C460,587,75,0.18706351899667356,48,29583,0
C461,1428,98,0.527096505946814,6,37495,0
C462,1981,76,0.3840360527911867,58,6199,0
C463,802,114,0.15667223672530223,58,3433,0
C464,2468,115,0.30001425469008514,53,32737,0
C465,4401,91,0.9008851788812883,45,43066,1
C466,2498,63,0.18886770911491513,48,39577,0
C467,2175,105,0.817392304675047,44,45368,1
C468,3273,109,0.9767229812532902,24,37013,1
C469,4396,93,0.7298623196361455,47,43222,1
C470,1827,113,0.9543831023665548,21,28976,0
C471,1873,78,0.7332155067520906,45,8737,0
C472,2638,88,0.2773099678654546,25,5216,0
C473,987,115,0.6371252348341495,43,21972,0
C474,3056,85,0.4883023349358552,12,45448,0
C475,1512,66,0.8928616828578154,41,29404,1
C476,3688,88,0.3696440160990371,24,34593,0
C477,2872,100,0.11562210471789089,22,12449,0
C478,3114,82,0.2977805395951283,47,14302,0
C479,687,78,0.9876025982166554,30,43750,0
C480,2553,83,0.9726417062369138,27,5205,0
C481,3565,87,0.9932509424728799,39,17165,0
C482,3152,67,0.38322815153080236,38,21681,0
C483,4011,105,0.6103680587045853,57,19294,1
C484,4069,116,0.815734853213174,24,7316,1
C485,1580,100,0.10087102563290372,54,18086,0
C486,3867,91,0.775639438708641,34,30658,1
C487,3532,118,0.2376708637780823,24,6687,1
C488,1405,74,0.6678316925132821,41,11273,0
C489,1275,114,0.9105953120795995,6,5127,0
C490,803,96,0.4362149574416947,31,20395,0
C491,4098,60,0.4325530601390649,31,34733,0
C492,2881,116,0.9668388675565788,7,13806,1
C493,4132,63,0.17697110847489153,55,39463,0
C494,1462,93,0.9228168649372198,12,49306,0
C495,2264,73,0.8906370767387753,46,46908,1
C496,2664,114,0.7673437146479778,20,16765,0
C497,1247,88,0.7935797852844629,31,7914,0
C498,2263,94,0.32982101476773956,56,6008,0
C499,3103,115,0.8532271696856989,32,24886,0
C500,4232,107,0.9671366502638302,17,6444,1
C501,3071,87,0.898955520373806,6,30820,0
C502,3902,76,0.10875426564995433,16,23969,0
C503,4304,73,0.6855520300833265,21,30301,0
C504,735,91,0.9615656963318711,37,1070,0
C505,2212,110,0.6666754316974584,38,6568,0
C506,4975,105,0.1080112567099924,21,10887,1
C507,1296,67,0.11079225302511053,24,17829,0
C508,4411,71,0.9600212952318615,46,37831,1
C509,4469,104,0.6192580941844823,17,40142,1
C510,753,82,0.34003381877991123,44,17232,0
C511,2007,111,0.3805441258566922,24,22836,0
C512,945,80,0.2046512552744829,21,37456,0
C513,4280,112,0.2442499787182735,9,47144,1
C514,1424,100,0.4729463191597255,49,4257,0
C515,1107,80,0.7032005593988548,26,29296,0
C516,939,118,0.7237975867241957,28,41582,0
C517,4367,63,0.40422133293769835,39,35313,0
C518,1918,74,0.130686044594363,14,8444,0
C519,2574,67,0.25915576631757387,25,34660,0
C520,3673,107,0.30936335891843497,17,5626,1
C521,2814,98,0.8882921233758376,27,3446,0
C522,2887,94,0.6146961179299295,33,36178,1
C523,4373,94,0.6197514564483882,45,30413,1
C524,3727,74,0.3360761208103654,24,32798,0
C525,1396,66,0.34951258831912235,55,37200,0
C526,2218,106,0.32979901412259094,15,42460,1
C527,986,64,0.22473020751067702,46,32804,0
C528,4679,105,0.7199810026451254,13,7871,1
C529,898,74,0.5560842142364609,56,2654,0
C530,3305,82,0.7391486966248334,14,41579,0
C531,1811,92,0.27881161143395444,56,12769,0
C532,2019,116,0.8062249999935043,43,31080,1
C533,2507,93,0.2520450525768977,41,9532,0
C534,1429,69,0.4615316664697545,10,41423,0
C535,2508,74,0.5870082993757094,12,30396,0
C536,751,66,0.7090836798634836,20,25180,0
C537,3204,114,0.769580053775671,27,14358,1
C538,3700,118,0.9458094184384407,20,26566,1
C539,2652,104,0.9180852207677688,19,42819,0
C540,766,95,0.5430182559200251,38,28198,0
C541,4886,111,0.47588340385126915,56,46140,1
C542,744,102,0.8128588344991543,45,49450,1
C543,2103,110,0.7647222813408934,41,21889,1
C544,1012,79,0.9724842036997763,15,15161,0
C545,4071,60,0.3883120885885404,59,6509,0
C546,2506,109,0.6697859401949076,27,32481,0
C547,1589,95,0.967372829603511,51,3280,0
C548,626,116,0.20403110792974982,36,8465,1
C549,1674,118,0.2950350626248911,31,35039,0
C550,4409,74,0.865276655945575,41,46822,1
C551,1583,74,0.8712811662289023,17,19373,0
C552,2457,60,0.48720891927955534,25,2680,0
C553,1978,65,0.9959466534067289,34,24059,0
C554,3983,90,0.7564092537524397,59,27581,1
C555,1412,101,0.6299108647328148,38,24955,1
C556,1197,103,0.6584717646821494,57,34594,0
C557,2529,104,0.38658505776734664,15,44455,0
C558,933,103,0.9694857290845801,48,40622,1
C559,4193,68,0.5007711936310617,24,46825,0
C560,639,75,0.17837458836188708,32,2564,0
C561,3867,90,0.6748482337794818,36,15166,0
C562,704,117,0.19977163168251533,26,2444,0
C563,2500,74,0.8796974602671854,12,27390,0
C564,1808,80,0.45683488472800926,43,45551,0
C565,4999,77,0.9433273224881177,39,44742,0
C566,3952,96,0.6066143956699659,37,24575,1
C567,3196,116,0.1540691023653722,47,24265,1
C568,3925,116,0.20859905974815734,49,45587,1
C569,4504,101,0.194465443288952,34,38507,1
C570,4760,84,0.5448156953075228,50,46618,0
C571,1487,116,0.3426792702106451,14,40069,0
C572,558,86,0.9235054484977392,14,13961,0
C573,3403,112,0.6205657404946302,18,38502,1
C574,1994,97,0.5510645944763504,22,32291,0
C575,3468,102,0.7740612069268705,13,2072,1
C576,2541,66,0.9715313777100236,10,12707,0
C577,2940,91,0.735183994807629,24,16576,0
C578,3031,117,0.4519252207766804,7,3158,1
C579,3814,114,0.9268880915177431,18,35712,1
C580,4646,63,0.681635427531895,19,9878,0
C581,4642,83,0.3783077844786955,44,49280,0
C582,996,89,0.12474303097279646,56,8642,0
C583,2467,95,0.1672364694646348,50,40359,0
C584,3759,74,0.5643449292448456,12,15077,1
C585,3900,90,0.7635808352425919,9,40034,0
